feature,importance
risk_proxy,0.2418546510954411
income,0.056182710868282505
ldl,0.053934053212121046
days_hospitalized_last_3yrs,0.04976839926808267
hba1c,0.04781369184912228
age_chronic_interaction,0.04454512659484577
bmi_chronic_interaction,0.038982178551751206
bmi,0.03527873562247521
diastolic_bp,0.03526066039874245
systolic_bp,0.035146589603627806
age,0.03462455462323692
policy_term_years,0.024857250361502593
procedure_intensity,0.023736261921158124
hospital_severity,0.022103272639367125
utilization_score,0.01971564389459926
medication_count,0.013390611263321948
visits_last_year,0.011692000739315454
proc_imaging_count,0.01060328176895382
deductible,0.008752865878648246
dependents,0.008631731158536297
household_size,0.008592481022608307
proc_lab_count,0.007450162972791306
proc_consult_count,0.0073813044149753995
employment_status_Employed,0.007196479090237958
network_tier_Gold,0.0069405918174005035
proc_physio_count,0.006940497887494968
region_North,0.006352071305627485
hospitalizations_last_3yrs,0.006340781536295308
alcohol_freq_Occasional,0.005649770699713802
network_tier_Silver,0.00552545006475475
network_tier_Bronze,0.0048873845181237625
education_Masters,0.004657039951686748
education_Some College,0.004379755953681229
marital_status_Divorced,0.004363748891354956
education_HS,0.00433987540629301
sex_Male,0.0040705265778032875
urban_rural_Urban,0.004037037024778386
plan_type_HMO,0.0039866590870840865
plan_type_PPO,0.003822332454685242
marital_status_Married,0.0037738787665503827
arthritis,0.003664024016048622
alcohol_freq_nan,0.0035595035590616207
sex_Female,0.0031833728227598974
education_Bachelors,0.003148493417769439
severe_comorbidity_count,0.0030797581423809587
employment_status_Unemployed,0.0028751766760550055
region_South,0.002846244148598118
marital_status_Single,0.0028180851314554695
region_East,0.002745427639959632
urban_rural_Suburban,0.0025954411288499797
plan_type_POS,0.002554006216439703
urban_rural_Rural,0.002301785996841745
plan_type_EPO,0.0022386461938131933
alcohol_freq_Weekly,0.0021818485155248473
smoker_Former,0.0021743549193153663
region_Central,0.002116771405187416
employment_status_Retired,0.002095791934537199
network_tier_Platinum,0.002067806151536665
mental_health,0.0020588801466589184
region_West,0.0019898006626026233
cancer_history,0.0019497519557906775
hypertension,0.0017422085103768236
asthma,0.0016605823481131356
chronic_count,0.0016003625150908954
employment_status_Self-employed,0.0013716280514797848
smoker_Never,0.0013558830522346769
proc_surgery_count,0.0013427713236106491
copd,0.001229256907420031
marital_status_Widowed,0.0010810083494092694
had_major_procedure,0.0010795871164946138
cardiovascular_disease,0.0009323910103741007
alcohol_freq_Daily,0.0008208840509941083
sex_Other,0.000744982036433693
diabetes,0.000692753490229204
smoker_Current,0.0006138269597625913
education_No HS,0.0005508699323123479
liver_disease,0.0005426218054520945
kidney_disease,0.0004195752040959556
education_Doctorate,0.0004117357978561605
