feature,importance
risk_proxy,0.2354139921471944
bmi_chronic_interaction,0.06435049669343294
income,0.058464044840186045
ldl,0.057429161248256005
hba1c,0.05077750471327573
age_chronic_interaction,0.050049767744781065
days_hospitalized_last_3yrs,0.043590168521543016
diastolic_bp,0.03551406794626107
systolic_bp,0.031406811358907306
utilization_score,0.02924862015606546
bmi,0.02894453352792014
hospital_severity,0.02682834725941318
age,0.025825191573040543
procedure_intensity,0.02170593929859954
policy_term_years,0.014884684262394
proc_imaging_count,0.013219880611178677
visits_last_year,0.013160646995929831
medication_count,0.012765334549890133
employment_status_Employed,0.012664344465843908
proc_lab_count,0.009385678959220522
dependents,0.00827474279942901
education_Masters,0.007906369941060441
network_tier_Gold,0.007831880155178834
deductible,0.006568801893702351
household_size,0.006336729340432522
proc_physio_count,0.006304407067166913
education_HS,0.0055882890708666925
region_North,0.005477820565849764
alcohol_freq_Occasional,0.004772028185331533
network_tier_Bronze,0.004535079039196095
hospitalizations_last_3yrs,0.00433444915942294
arthritis,0.004233640354381729
network_tier_Silver,0.004064580221103865
marital_status_Married,0.004063804558075603
proc_consult_count,0.003936711423698342
smoker_Current,0.003829393711223751
severe_comorbidity_count,0.003755223102239518
chronic_count,0.003541828809829059
region_East,0.003535533511565342
education_Some College,0.0033507346037511773
alcohol_freq_Weekly,0.0033128911781525605
marital_status_Divorced,0.002960407095378294
urban_rural_Urban,0.0027691972779045333
smoker_Never,0.0027354337527489042
region_South,0.0027109074710434627
sex_Male,0.0024602796653942754
plan_type_HMO,0.0023599160588136077
plan_type_POS,0.002286109691254959
plan_type_PPO,0.002251509749057866
marital_status_Single,0.002132496336692694
smoker_Former,0.002061182220375863
asthma,0.0020283052826377867
sex_Female,0.001955359673593763
alcohol_freq_nan,0.0019085502254732674
region_Central,0.001803840457582205
employment_status_Retired,0.001796197635801889
employment_status_Unemployed,0.0017316712880823652
copd,0.0016576065803417632
cardiovascular_disease,0.0015685756445648943
region_West,0.0015666983126670496
education_Bachelors,0.0015466847090224785
plan_type_EPO,0.0015379405710307821
diabetes,0.0015344810908542472
employment_status_Self-employed,0.0014957743095191601
liver_disease,0.0014349779133410677
proc_surgery_count,0.0014033901500016602
hypertension,0.001373517077170847
urban_rural_Rural,0.0012315877837739317
mental_health,0.0011666463979014584
urban_rural_Suburban,0.0010701315686875716
had_major_procedure,0.0009679167318494375
network_tier_Platinum,0.0009053629526710308
cancer_history,0.0006847419621782571
education_No HS,0.0006110958772455793
alcohol_freq_Daily,0.0005744492148370336
marital_status_Widowed,0.0003325028428300957
kidney_disease,0.00015864403797256698
education_Doctorate,4.175482471165059e-05
sex_Other,0.0
