feature,importance
risk_proxy,0.2311394328648735
income,0.05646933512049996
ldl,0.05107596596549147
days_hospitalized_last_3yrs,0.047349582712967145
hba1c,0.045827956429018525
age_chronic_interaction,0.042755376456520694
deductible_risk,0.04061213246449078
bmi_chronic_interaction,0.03586387616917357
age,0.03400816185654031
bmi,0.03350632733522227
diastolic_bp,0.03330305342606532
systolic_bp,0.03257880612180204
hospital_severity,0.023136237331663142
policy_term_years,0.022899488185363887
procedure_intensity,0.021611612787992014
utilization_score,0.019806538062333377
medication_count,0.013247132775730497
visits_last_year,0.011519501277676576
proc_imaging_count,0.010739289384382155
household_size,0.008536348087160238
dependents,0.008067377568179834
proc_lab_count,0.007122965099066136
network_tier_Gold,0.006584549145877893
proc_physio_count,0.006568390923786761
proc_consult_count,0.00633349595250211
employment_status_Unemployed,0.005821167061937171
region_North,0.005764145544289301
employment_status_Employed,0.005697509217016044
hospitalizations_last_3yrs,0.00526005117601257
deductible_chronic,0.005090079382279115
marital_status_Divorced,0.004919101319948172
education_Masters,0.004840072637110994
alcohol_freq_Occasional,0.004647106600615183
education_HS,0.004628710227486846
network_tier_Silver,0.0044773253589610665
network_tier_Bronze,0.004294213046678409
education_Some College,0.00405969582736512
plan_type_HMO,0.003728361284769689
plan_type_PPO,0.0034767010998046767
urban_rural_Urban,0.003376788938373024
arthritis,0.0033747609944580165
alcohol_freq_nan,0.003344615615847898
sex_Male,0.003159837123761845
sex_Female,0.003100211730209002
severe_comorbidity_count,0.0030579409333823778
education_Bachelors,0.002981908940359841
marital_status_Married,0.0029732370229218225
smoker_Former,0.0027964794580337717
plan_type_POS,0.0027198349434937857
network_tier_Platinum,0.002646185737208042
region_South,0.0026162785761570523
urban_rural_Suburban,0.0026161939985785555
cancer_history,0.002533888498302805
region_Central,0.002400490645361497
marital_status_Single,0.002398693737484251
region_East,0.0023886302798415593
plan_type_EPO,0.002370714150008411
urban_rural_Rural,0.002330777348705833
alcohol_freq_Weekly,0.002319081191527215
employment_status_Retired,0.002281791340855069
mental_health,0.0020926349897867173
region_West,0.0020834648890886553
asthma,0.0019819103914609777
hypertension,0.0016566765645391046
employment_status_Self-employed,0.0015819438520290352
marital_status_Widowed,0.0014356074818459151
cardiovascular_disease,0.0013591312106047732
proc_surgery_count,0.0013366869361105614
copd,0.0012869440622521747
chronic_count,0.0011972932621231885
smoker_Never,0.0011224026432412422
alcohol_freq_Daily,0.0010638498561824394
deductible,0.0010078813119376606
had_major_procedure,0.0008763270559118499
diabetes,0.0008236263971380542
smoker_Current,0.000806400847655755
sex_Other,0.0007729938288418624
liver_disease,0.0006726331086232307
education_No HS,0.0005986216107469953
kidney_disease,0.000558896254990899
education_Doctorate,0.0005285589513627411
