encoded_feature,importance
smoker_Current,91.90584
age,80.569046
smoker_Former,41.030037
smoker_Never,41.01023
chronic_count,37.739113
is_high_risk,35.581184
bmi,32.306564
sex_Other,27.88346
alcohol_freq_Daily,25.967354
education_No HS,25.579052
marital_status_Widowed,25.367947
education_Doctorate,25.343542
hypertension,24.488419
plan_type_POS,23.935513
urban_rural_Rural,23.826984
marital_status_Divorced,23.653032
employment_status_Unemployed,23.288946
urban_rural_Suburban,23.121426
mental_health,23.0929
employment_status_Self-employed,23.041615
sex_Male,22.918236
region_Central,22.36251
education_HS,22.337826
network_tier_Bronze,22.259392
marital_status_Married,22.190914
network_tier_Platinum,22.125816
arthritis,22.107887
education_Masters,22.09441
alcohol_freq_Occasional,22.056679
marital_status_Single,22.028854
urban_rural_Urban,21.981579
alcohol_freq_Weekly,21.777815
sex_Female,21.58754
region_South,21.562798
region_West,21.49777
region_East,21.464628
education_Some College,21.364412
network_tier_Gold,21.291992
network_tier_Silver,21.176193
plan_type_PPO,20.921516
region_North,20.862719
alcohol_freq_nan,20.761913
employment_status_Employed,20.57169
education_Bachelors,20.529884
plan_type_EPO,20.337399
plan_type_HMO,20.219513
employment_status_Retired,19.926086
asthma,19.447655
diabetes,19.062248
cancer_history,18.059273
cardiovascular_disease,16.501328
copd,15.944892
annual_premium,14.929847
kidney_disease,14.9079075
monthly_premium,14.830837
annual_medical_cost,14.404508
systolic_bp,14.271066
proc_surgery_count,13.785093
household_size,13.673379
diastolic_bp,13.54818
days_hospitalized_last_3yrs,13.28809
total_claims_paid,13.273167
liver_disease,13.211816
had_major_procedure,13.136952
hospitalizations_last_3yrs,12.9899025
claims_count,12.72493
dependents,12.720873
hba1c,12.639348
avg_claim_amount,12.435102
proc_imaging_count,12.415878
proc_lab_count,12.193304
copay,12.182747
ldl,11.986061
provider_quality,11.774567
proc_consult_count,11.525937
medication_count,11.448728
income,11.365543
deductible,11.236997
visits_last_year,11.234422
proc_physio_count,11.184972
policy_changes_last_2yrs,10.816915
policy_term_years,10.610581
