original_feature,importance
smoker,173.94610595703125
education,137.24912643432617
region,107.75042533874512
marital_status,93.24074745178223
alcohol_freq,90.56376075744629
network_tier,86.8533935546875
employment_status,86.82833671569824
plan_type,85.4139404296875
age,80.56904602050781
sex,72.38923454284668
urban_rural,68.92998886108398
chronic_count,37.739112854003906
is_high_risk,35.58118438720703
bmi,32.30656433105469
hypertension,24.488418579101562
mental_health,23.092899322509766
arthritis,22.107887268066406
asthma,19.447654724121094
diabetes,19.06224822998047
cancer_history,18.05927276611328
cardiovascular_disease,16.501327514648438
copd,15.944891929626465
annual_premium,14.92984676361084
kidney_disease,14.907907485961914
monthly_premium,14.83083724975586
annual_medical_cost,14.404507637023926
systolic_bp,14.271065711975098
proc_surgery_count,13.785093307495117
household_size,13.673378944396973
diastolic_bp,13.548179626464844
days_hospitalized_last_3yrs,13.288089752197266
total_claims_paid,13.27316665649414
liver_disease,13.21181583404541
had_major_procedure,13.13695240020752
hospitalizations_last_3yrs,12.98990249633789
claims_count,12.724929809570312
dependents,12.72087287902832
hba1c,12.639348030090332
avg_claim_amount,12.435102462768555
proc_imaging_count,12.415878295898438
proc_lab_count,12.193304061889648
copay,12.182746887207031
ldl,11.986061096191406
provider_quality,11.774566650390625
proc_consult_count,11.5259370803833
medication_count,11.44872760772705
income,11.365543365478516
deductible,11.2369966506958
visits_last_year,11.234421730041504
proc_physio_count,11.184971809387207
policy_changes_last_2yrs,10.816914558410645
policy_term_years,10.610581398010254
